X:-0.77 Y:9.345 Z:1.434 Warning: 0
X:-0.22 Y:9.358 Z:2.692 Warning: 0
X:0.136 Y:9.418 Z:2.159 Warning: 0
X:-0.06 Y:9.454 Z:2.154 Warning: 0
X:-0.11 Y:9.500 Z:2.050 Warning: 0
X:0.031 Y:9.567 Z:0.867 Warning: 0
X:-0.10 Y:9.574 Z:2.726 Warning: 0
X:-0.87 Y:9.356 Z:2.019 Warning: 0
X:-1.33 Y:9.428 Z:-0.11 Warning: 0
X:-0.35 Y:9.751 Z:0.793 Warning: 0
X:0.110 Y:9.823 Z:0.729 Warning: 0
X:0.214 Y:9.749 Z:0.448 Warning: 0
X:0.250 Y:9.727 Z:0.263 Warning: 0
X:-1.32 Y:9.333 Z:1.789 Warning: 0
X:1.516 Y:9.908 Z:-1.79 Warning: 0
X:1.708 Y:9.894 Z:0.990 Warning: 0
X:-2.04 Y:9.062 Z:0.266 Warning: 0
X:0.402 Y:9.673 Z:2.612 Warning: 0
X:-1.25 Y:9.311 Z:1.353 Warning: 0
X:-0.09 Y:9.463 Z:4.866 Warning: 0
X:0.265 Y:9.613 Z:0.131 Warning: 0
X:0.084 Y:9.554 Z:0.611 Warning: 0
X:-0.02 Y:9.542 Z:2.590 Warning: 0
X:-0.04 Y:9.566 Z:0.906 Warning: 0
X:0.067 Y:9.568 Z:3.579 Warning: 0
X:0.143 Y:9.654 Z:1.167 Warning: 0
X:0.141 Y:9.649 Z:-0.28 Warning: 0
X:-0.04 Y:9.643 Z:1.369 Warning: 0
X:0.545 Y:9.757 Z:0.450 Warning: 0
X:-0.45 Y:9.576 Z:0.787 Warning: 0
X:0.052 Y:9.666 Z:0.910 Warning: 0
X:0.090 Y:9.700 Z:0.318 Warning: 0
X:-0.07 Y:9.680 Z:-0.10 Warning: 0
X:0.031 Y:9.678 Z:0.274 Warning: 0
X:0.031 Y:9.680 Z:0.468 Warning: 0
X:0.003 Y:9.652 Z:0.208 Warning: 0
X:-0.02 Y:9.648 Z:1.537 Warning: 0
X:0.005 Y:9.654 Z:0.750 Warning: 0
